Dátum,Év,Város,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport,street
2012-05-11,2012,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.49953888888889,19.0829416666667,0,0,1,2,POINT (652674.36286374 239512.15057812067),gyalogos,Keleti pályaudvar  Kerepesi út
2012-05-11,2012,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4960055555556,19.0839222222222,0,0,3,2,POINT (652748.4162776861 239119.36388455855),jármű-jármű,"['Dologház utca', ' Fiumei út']"
2012-05-11,2012,Budapest VIII. kerület,könnyű sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4843694444444,19.0799694444444,0,0,1,2,POINT (652451.1108196748 237825.5905150172),gyalogos,[' Szigony utca']
2012-05-11,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4970555555556,19.077275,0,0,1,2,POINT (652247.5334067508 239235.89279485727),jármű-jármű,"['Erkel Színház', ' 30', ' II. János Pál pápa tér']"
2012-05-13,2012,Budapest VIII. kerület,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4893888888889,19.0781444444444,0,0,3,3,POINT (652313.3634972712 238383.57377972204),jármű-jármű, Baross utca
2012-05-14,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4800083333333,19.0865722222222,0,0,1,1,POINT (652948.9471061957 237340.96537936313),gyalogos,"['Barkácsbolt', ' kulcsmásolás', ' Üllői út']"
2012-05-16,2012,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4936916666667,19.1077194444444,0,0,1,2,POINT (654541.6305421512 238863.2004967608),gyalogos,[' Százados út']
2012-05-17,2012,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.4969,19.0699055555556,0,0,2,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű,Blaha Lujza tér  Rákóczi út
2012-05-21,2012,Budapest VIII. kerület,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,egyéb,egyéb,47.4844416666667,19.0855555555556,0,0,1,2,POINT (652872.0892630961 237833.80394692282),jármű-jármű,"['ELTE Fűvészkert', ' 25', ' Illés utca']"
2012-05-21,2012,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),jármű-jármű,Hungária körút
2012-05-22,2012,Budapest VIII. kerület,könnyű sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.49953888888889,19.0829416666667,0,0,2,2,POINT (652674.36286374 239512.15057812067),jármű-jármű,Keleti pályaudvar  Kerepesi út
2012-05-25,2012,Budapest VIII. kerület,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4962444444444,19.0704333333333,0,1,0,2,POINT (651732.0782501437 239145.55053422853),gyalogos,0809 - Blaha Lujza tér M (2062)  Blaha Lujza tér
2012-05-29,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4884333333333,19.08765,0,0,1,1,POINT (653029.7093684154 238277.6543324216),gyalogos,"['Kálvária téri Könyvtár', ' 12', ' Kálvária tér']"
2012-05-29,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4865083333333,19.1076666666667,0,0,1,2,POINT (654538.2575529236 238064.5896255088),jármű-jármű,Kőbányai út  Taraliget lakópark
2012-05-31,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4841111111111,19.0978583333333,0,0,1,2,POINT (653799.2768802445 237797.56608447392),gyalogos,"['Vajda Péter Ének-zenei Általános és Sportiskola', ' 25-31', ' Vajda Péter utca']"
2012-06-04,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4935805555556,19.0710472222222,0,0,1,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű, József körút
2012-06-05,2012,Budapest VIII. kerület,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4969,19.0699055555556,0,1,0,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű,Blaha Lujza tér  Rákóczi út
2012-06-07,2012,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4941444444444,19.0603861111111,0,0,1,1,POINT (650975.1012956679 238911.9193801291),gyalogos,"['Astoria', ' Astoria aluljáró']"
2012-06-07,2012,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4790777777778,19.1011972222222,0,0,1,4,POINT (654051.2811965373 237238.15003199375),gyalogos,"['Allianz székház / K3 irodaház', ' 48-52', ' Könyves Kálmán körút']"
